service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
TLINE_2026-01-26_TLink_Weekday_forGTFS_09162023_12mins,1,1,1,1,1,0,0,20260329,20260828
2026railplus,1,1,1,1,1,0,0,20260304,20270301
20260414,0,1,0,0,0,0,0,20260414,20260414
20260415,0,0,1,0,0,0,0,20260415,20260415
20260416,0,0,0,1,0,0,0,20260416,20260416
20260417,0,0,0,0,1,0,0,20260417,20260417
20260418,0,0,0,0,0,1,0,20260418,20260418
20260419,0,0,0,0,0,0,1,20260419,20260419
20260420,1,0,0,0,0,0,0,20260420,20260420
20260421,0,1,0,0,0,0,0,20260421,20260421
20260422,0,0,1,0,0,0,0,20260422,20260422
20260423,0,0,0,1,0,0,0,20260423,20260423
20260424,0,0,0,0,1,0,0,20260424,20260424
20260425,0,0,0,0,0,1,0,20260425,20260425
20260426,0,0,0,0,0,0,1,20260426,20260426
20260427,1,0,0,0,0,0,0,20260427,20260427
20260428,0,1,0,0,0,0,0,20260428,20260428
20260429,0,0,1,0,0,0,0,20260429,20260429
20260430,0,0,0,1,0,0,0,20260430,20260430
20260501,0,0,0,0,1,0,0,20260501,20260501
20260502,0,0,0,0,0,1,0,20260502,20260502
20260503,0,0,0,0,0,0,1,20260503,20260503
20260504,1,0,0,0,0,0,0,20260504,20260504
20260505,0,1,0,0,0,0,0,20260505,20260505
20260506,0,0,1,0,0,0,0,20260506,20260506
20260507,0,0,0,1,0,0,0,20260507,20260507
20260508,0,0,0,0,1,0,0,20260508,20260508
20260509,0,0,0,0,0,1,0,20260509,20260509
20260510,0,0,0,0,0,0,1,20260510,20260510
20260511,1,0,0,0,0,0,0,20260511,20260511
20260512,0,1,0,0,0,0,0,20260512,20260512
20260513,0,0,1,0,0,0,0,20260513,20260513
20260514,0,0,0,1,0,0,0,20260514,20260514
20260515,0,0,0,0,1,0,0,20260515,20260515
20260516,0,0,0,0,0,1,0,20260516,20260516
20260517,0,0,0,0,0,0,1,20260517,20260517
20260518,1,0,0,0,0,0,0,20260518,20260518
20260519,0,1,0,0,0,0,0,20260519,20260519
20260520,0,0,1,0,0,0,0,20260520,20260520
20260521,0,0,0,1,0,0,0,20260521,20260521
20260522,0,0,0,0,1,0,0,20260522,20260522
20260523,0,0,0,0,0,1,0,20260523,20260523
20260524,0,0,0,0,0,0,1,20260524,20260524
20260525,1,0,0,0,0,0,0,20260525,20260525
20260526,0,1,0,0,0,0,0,20260526,20260526
20260527,0,0,1,0,0,0,0,20260527,20260527
20260528,0,0,0,1,0,0,0,20260528,20260528
20260529,0,0,0,0,1,0,0,20260529,20260529
20260530,0,0,0,0,0,1,0,20260530,20260530
20260531,0,0,0,0,0,0,1,20260531,20260531
20260601,1,0,0,0,0,0,0,20260601,20260601
20260602,0,1,0,0,0,0,0,20260602,20260602
20260603,0,0,1,0,0,0,0,20260603,20260603
20260604,0,0,0,1,0,0,0,20260604,20260604
20260605,0,0,0,0,1,0,0,20260605,20260605
20260606,0,0,0,0,0,1,0,20260606,20260606
20260607,0,0,0,0,0,0,1,20260607,20260607
summer2026_MonFri,1,1,1,1,1,0,0,20260525,20260907
summer2026_SatSun,0,0,0,0,0,1,1,20260530,20260906
winter2025_Fri,0,0,0,0,1,0,0,20250905,20260522
winter2025_MonThu,1,1,1,1,0,0,0,20250902,20260521
winter2025_Sat,0,0,0,0,0,1,0,20250906,20260516
winter2025_Sun,0,0,0,0,0,0,1,20250907,20260517
winter2026_Fri,0,0,0,0,1,0,0,20260911,20270528
winter2026_MonThu,1,1,1,1,0,0,0,20260908,20270527
winter2026_Sat,0,0,0,0,0,1,0,20260912,20270529
winter2026_Sun,0,0,0,0,0,0,1,20260913,20270530
298,1,1,1,1,1,0,0,20260308,20260618
299,0,0,0,0,0,1,0,20260308,20260618
300,0,0,0,0,0,0,1,20260308,20260618
